0,1,2,3,4,5,6,7,8,9,10
63.0,66.0,68.0,65.0,63.0,18.0,16.0,20.0,19.0,15.0,0.0
63.0,67.0,68.0,64.0,64.0,17.0,18.0,20.0,15.0,13.0,0.0
63.0,64.0,71.0,63.0,64.0,13.0,14.0,12.0,17.0,22.0,0.0
63.0,70.0,70.0,65.0,63.0,17.0,16.0,16.0,18.0,17.0,0.0
61.0,64.0,68.0,63.0,63.0,14.0,20.0,17.0,11.0,16.0,0.0
64.0,64.0,69.0,63.0,65.0,16.0,15.0,15.0,11.0,9.0,0.0
65.0,66.0,70.0,63.0,64.0,12.0,13.0,18.0,16.0,21.0,0.0
62.0,65.0,70.0,62.0,63.0,15.0,14.0,19.0,13.0,15.0,0.0
61.0,65.0,68.0,63.0,64.0,17.0,20.0,24.0,14.0,19.0,0.0
63.0,65.0,67.0,62.0,64.0,10.0,18.0,17.0,14.0,15.0,0.0
62.0,64.0,68.0,64.0,63.0,14.0,16.0,18.0,17.0,17.0,0.0
61.0,65.0,68.0,62.0,65.0,13.0,17.0,17.0,14.0,17.0,0.0
62.0,67.0,67.0,65.0,64.0,14.0,17.0,16.0,20.0,11.0,0.0
61.0,65.0,68.0,65.0,63.0,17.0,15.0,17.0,12.0,13.0,0.0
62.0,65.0,67.0,64.0,65.0,8.0,20.0,15.0,16.0,12.0,0.0
61.0,66.0,68.0,63.0,64.0,17.0,14.0,18.0,18.0,14.0,0.0
64.0,66.0,69.0,63.0,64.0,15.0,15.0,16.0,15.0,17.0,0.0
62.0,65.0,72.0,63.0,65.0,16.0,17.0,18.0,12.0,12.0,0.0
61.0,66.0,67.0,66.0,62.0,17.0,16.0,11.0,18.0,17.0,0.0
61.0,64.0,67.0,62.0,64.0,8.0,13.0,16.0,16.0,13.0,0.0
60.0,66.0,67.0,63.0,63.0,16.0,19.0,18.0,12.0,18.0,0.0
64.0,64.0,69.0,63.0,65.0,12.0,21.0,15.0,16.0,15.0,0.0
62.0,65.0,69.0,64.0,65.0,15.0,15.0,15.0,19.0,16.0,0.0
63.0,64.0,69.0,62.0,66.0,16.0,13.0,18.0,19.0,13.0,0.0
